iter	Passed	Remaining
0	299	59612
1	425	42109
2	562	36928
3	665	32617
4	768	29962
5	861	27864
6	961	26514
7	1058	25411
8	1154	24509
9	1251	23781
10	1352	23245
11	1441	22583
12	1540	22163
13	1639	21785
14	1736	21412
15	1829	21037
16	1924	20714
17	2011	20340
18	2111	20114
19	2207	19870
20	2309	19686
21	2416	19555
22	2513	19341
23	2611	19149
24	2705	18941
25	2804	18766
26	2913	18665
27	3073	18883
28	3198	18861
29	3344	18954
30	3465	18891
31	3573	18761
32	3704	18744
33	3804	18573
34	3908	18427
35	4006	18251
36	4107	18094
37	4206	17931
38	4312	17802
39	4421	17686
40	4534	17584
41	4637	17446
42	4731	17275
43	4831	17130
44	4924	16960
45	5024	16820
46	5127	16693
47	5226	16549
48	5325	16410
49	5425	16275
50	5523	16137
51	5620	15997
52	5716	15855
53	5810	15709
54	5900	15554
55	6002	15434
56	6097	15297
57	6193	15164
58	6296	15046
59	6394	14921
60	6492	14793
61	6589	14666
62	6685	14539
63	6784	14417
64	6884	14297
65	6983	14177
66	7080	14055
67	7172	13923
68	7267	13797
69	7354	13657
70	7452	13539
71	7541	13407
72	7638	13288
73	7737	13174
74	7835	13058
75	7932	12942
76	8023	12816
77	8119	12699
78	8216	12584
79	8327	12490
80	8429	12384
81	8527	12270
82	8625	12159
83	8720	12042
84	8815	11926
85	8914	11816
86	9011	11704
87	9106	11589
88	9206	11482
89	9306	11374
90	9404	11264
91	9500	11152
92	9600	11045
93	9702	10941
94	9801	10833
95	9899	10724
96	9998	10616
97	10090	10501
98	10185	10390
99	10283	10283
100	10374	10169
101	10487	10075
102	10591	9974
103	10688	9866
104	10781	9755
105	10879	9647
106	10981	9544
107	11082	9440
108	11187	9340
109	11290	9237
110	11393	9135
111	11494	9031
112	11591	8924
113	11688	8817
114	11782	8708
115	11877	8600
116	11972	8493
117	12070	8388
118	12169	8283
119	12259	8173
120	12355	8067
121	12447	7957
122	12546	7854
123	12640	7747
124	12740	7644
125	12839	7540
126	12935	7435
127	13030	7329
128	13127	7225
129	13225	7121
130	13313	7012
131	13413	6910
132	13508	6804
133	13601	6699
134	13703	6598
135	13800	6494
136	13896	6390
137	13984	6283
138	14072	6175
139	14165	6070
140	14264	5968
141	14364	5867
142	14456	5762
143	14549	5658
144	14645	5555
145	14735	5449
146	14827	5346
147	14920	5242
148	15015	5139
149	15113	5037
150	15210	4935
151	15306	4833
152	15404	4732
153	15502	4630
154	15602	4529
155	15701	4428
156	15795	4326
157	15899	4226
158	15996	4124
159	16092	4023
160	16196	3923
161	16294	3822
162	16381	3718
163	16480	3617
164	16573	3515
165	16660	3412
166	16755	3310
167	16851	3209
168	16958	3110
169	17054	3009
170	17147	2907
171	17238	2806
172	17343	2706
173	17428	2604
174	17526	2503
175	17613	2401
176	17708	2301
177	17802	2200
178	17894	2099
179	17991	1999
180	18087	1898
181	18175	1797
182	18271	1697
183	18367	1597
184	18465	1497
185	18560	1397
186	18656	1296
187	18753	1197
188	18851	1097
189	18946	997
190	19043	897
191	19135	797
192	19231	697
193	19324	597
194	19426	498
195	19526	398
196	19622	298
197	19719	199
198	19814	99
199	19912	0
